Description,Withdrawals,Deposits,Date,Balance
BALANCE FORWARD,,,AUG31,13.258.04
TFR-FR ID.REES O,,2.300.00,SEP01,
BBS SECÜRITIES MSP,100.00,,SEP01,
BBS SECURITIES MSP,1.000.00,,SEP01,15.197.58
TFR-FR IDRIS F,,163.67,SEP08,
ETFR C2HWueft,,28.25,SEP08,
TD ATM W/D 006093,80.00,,SEP08,
CASH WITHDRAWAL,1.540.00,,SEP08,
HONEST EDS LIMI,5.99,,SEPC8,
BBS SECURITIES MSP,100.00,,SEP08,13.663.51
NOVA ERA BAKERY,9.45,,SEP09,13.654.06
TFR-FR IDREESO,,2.300.00,SEP14,
BABA GEDDO,6.85,,SEP14,
LE NEUF CAFE LT,6.52,,SEP14,
SLICE OF NEW YO,61.49,,SEP14,
ETFR C2rhDWSb,,47.46,SEP14,
,,,,
BALANCE FORWARD,,,AUG31,13.258.04
TFR-FR ID.REES O,,2.300.00,SEP01,
BBS SECÜRITIES MSP,100.00,,SEP01,
BBS SECURITIES MSP,1.000.00,,SEP01,15.197.58
TFR-FR IDRIS F,,163.67,SEP08,
ETFR C2HWueft,,28.25,SEP08,
TD ATM W/D 006093,80.00,,SEP08,
CASH WITHDRAWAL,1.540.00,,SEP08,
HONEST EDS LIMI,5.99,,SEPC8,
BBS SECURITIES MSP,100.00,,SEP08,13.663.51
NOVA ERA BAKERY,9.45,,SEP09,13.654.06
TFR-FR IDREESO,,2.300.00,SEP14,
BABA GEDDO,6.85,,SEP14,
LE NEUF CAFE LT,6.52,,SEP14,
SLICE OF NEW YO,61.49,,SEP14,
ETFR C2rhDWSb,,47.46,SEP14,
,,,,
